0,000	175,5	-564,3
0,017	174,2	-565,4
0,033	173,0	-566,0
0,050	170,4	-567,5
0,067	167,2	-568,8
0,083	163,7	-569,8
0,100	158,6	-570,9
0,117	153,5	-571,0
0,133	147,9	-571,1
0,150	141,5	-571,2
0,167	135,4	-571,7
0,183	129,5	-572,1
0,200	122,5	-573,8
0,217	113,5	-576,0
0,233	106,6	-577,0
0,250	97,52	-578,5
0,267	88,40	-578,9
0,283	79,18	-579,3
0,300	69,68	-579,9
0,317	59,04	-580,9
0,333	49,86	-580,6
0,350	39,78	-580,7
0,367	29,42	-581,5
0,383	19,69	-583,1
0,400	8,921	-583,8
0,417	-1,130	-584,7
0,433	-11,67	-585,0
0,450	-21,72	-586,4
0,467	-31,08	-587,1
0,483	-41,64	-587,3
0,500	-52,17	-587,6
0,517	-60,96	-588,1
0,533	-71,34	-589,3
0,550	-81,70	-589,3
0,567	-93,13	-589,9
0,583	-104,6	-590,1
0,600	-114,5	-589,7
0,616	-126,5	-589,9
0,633	-136,2	-590,0
0,650	-146,4	-590,2
0,666	-156,7	-590,4
0,683	-165,7	-591,0
0,700	-174,3	-591,2
0,716	-182,9	-591,1
0,733	-191,3	-591,1
0,750	-199,3	-590,9
0,766	-206,7	-591,1
0,783	-214,1	-591,3
0,800	-219,7	-591,2
0,816	-225,5	-591,5
0,833	-230,6	-592,2
0,850	-234,9	-592,4
0,866	-239,4	-592,2
0,883	-243,5	-592,1
0,900	-246,4	-591,2
0,916	-249,2	-591,6
0,933	-250,3	-592,0
0,950	-250,9	-591,5
0,966	-250,8	-591,4
0,983	-250,6	-592,3
1,000	-248,4	-593,2
1,016	-246,5	-594,2
1,033	-243,1	-595,3
1,050	-239,8	-596,3
1,066	-236,5	-596,9
1,083	-231,8	-597,4
1,100	-226,1	-598,4
1,116	-219,4	-599,9
1,133	-212,2	-600,7
1,150	-206,1	-601,5
1,166	-199,5	-602,1
1,183	-192,3	-602,6
1,200	-183,9	-602,6
1,216	-175,9	-602,6
1,233	-167,8	-602,9
1,250	-159,0	-603,0
1,266	-149,6	-604,0
1,283	-140,7	-604,5
1,300	-130,4	-604,7
1,316	-120,5	-604,6
1,333	-110,9	-604,7
1,350	-100,5	-603,6
1,366	-91,45	-602,2
1,383	-81,44	-601,4
1,400	-70,27	-600,4
1,416	-59,32	-600,2
1,433	-48,19	-600,4
1,450	-36,68	-600,3
1,466	-25,53	-600,0
1,483	-14,97	-600,1
1,500	-3,334	-599,9
1,516	7,328	-600,0
1,533	18,02	-598,4
1,550	28,66	-598,3
1,566	39,14	-596,7
1,583	49,95	-596,0
1,600	60,01	-596,1
1,616	69,57	-595,8
1,633	79,85	-595,9
1,650	88,58	-596,0
1,666	96,85	-595,4
